id,url,data_relatorio,suspeitos,confirmados,nao_confirmados,aguarda_resultados,recuperados,obitos,em_vigilancia,confirmados_masculino_0_9,confirmados_masculino_10_19,confirmados_masculino_20_29,confirmados_masculino_30_39,confirmados_masculino_40_49,confirmados_masculino_50_59,confirmados_masculino_60_69,confirmados_masculino_70_79,confirmados_masculino_80_sup,confirmados_feminino_0_9,confirmados_feminino_10_19,confirmados_feminino_20_29,confirmados_feminino_30_39,confirmados_feminino_40_49,confirmados_feminino_50_59,confirmados_feminino_60_69,confirmados_feminino_70_79,confirmados_feminino_80_sup,importados,internados,internados_uci,sintoma_febre,sintoma_tosse,sintoma_respiratoria,sintoma_cefaleia,sintoma_dores,sintoma_fraqueza,obitos_masculino_0_9,obitos_masculino_10_19,obitos_masculino_20_29,obitos_masculino_30_39,obitos_masculino_40_49,obitos_masculino_50_59,obitos_masculino_60_69,obitos_masculino_70_79,obitos_masculino_80_sup,obitos_feminino_0_9,obitos_feminino_10_19,obitos_feminino_20_29,obitos_feminino_30_39,obitos_feminino_40_49,obitos_feminino_50_59,obitos_feminino_60_69,obitos_feminino_70_79,obitos_feminino_80_sup
"11","https://covid19.min-saude.pt/wp-content/uploads/2020/03/Relato%CC%81rio-de-Situac%CC%A7a%CC%83o-11.pdf","2020-03-13","1308","112",,"172",,"0","5674","1","5","8","15","14","12","8","3","2","0","10","3","9","14","2","3","3","0","33","107",,"48","65","12","39","37","24",,,,,,,,,,,,,,,,,,
"12","https://covid19.min-saude.pt/wp-content/uploads/2020/03/12_DGS_boletim_202003143.pdf","2020-03-14","1704","169",,"126","1","0","5011","1","6","12","20","22","21","9","7","2","0","13","7","17","19","5","3","4","1","39","114","10","39","54","10","33","34","21",,,,,,,,,,,,,,,,,,
"13","https://covid19.min-saude.pt/wp-content/uploads/2020/03/DGS_boletim_20200315_3.pdf","2020-03-15","2271","245","1746","281","2","0","4592","1","8","16","30","26","27","12","12","2","0","17","12","25","27","16","6","5","3","47","139","9","31","53","9","19","18","13",,,,,,,,,,,,,,,,,,
"14","https://www.dgs.pt/em-destaque/relatorio-de-situacao-n-014-16032020-pdf.aspx","2020-03-16","2908","331","2203","374","3","0","4592","1","10","21","35","36","31","26","18","4","2","17","17","30","32","21","11","10","8","47","139","18","31","53","9","19","18","13",,,,,,,,,,,,,,,,,,
"15","https://www.dgs.pt/em-destaque/relatorio-de-situacao-n-015-17032020-pdf.aspx","2020-03-17","4030","448","3259","323","3","0","6852","1","13","34","51","46","41","34","22","5","2","19","21","37","47","32","18","13","12","61","206","17","27","33","10","17","19","14",,,,,,,,,,,,,,,,,,
"16","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026029.pdf","2020-03-18","5067","642","4074","351","3","0","6656","3","15","45","62","63","50","49","32","11","13","21","42","55","75","42","28","17","19","62","89","20","24","31","10","17","17","12",,,,,,,,,,,,,,,,,,
"17","https://covid19.min-saude.pt/wp-content/uploads/2020/03/17_DGS_boletim_20200319.pdf.pdf","2020-03-19","6061","785","4788","488","3","0","8091",,,,,,,,,,,,,,,,,,,"68","89","20","20","25","8","14","14","10",,,,,,,,,,,,,,,,,,
"18","https://covid19.min-saude.pt/wp-content/uploads/2020/03/18_DGS_boletim_20200320-1.pdf","2020-03-20","7732","1020","5862","850","5","0","9008","4","21","61","95","90","84","79","55","25","14","23","65","92","106","90","53","35","27","95","126","26","15","20","6","11","11","8",,,,,,,,,,,,,,,,,,
"19","https://covid19.min-saude.pt/wp-content/uploads/2020/03/19_DGS_boletim_20200321.pdf","2020-03-21","9854","1280","7515","1059","5","0","13155","4","22","68","116","109","101","105","71","35","14","27","89","118","133","113","75","42","38","104","156","35","22","10","9","14","17","11",,,,,,,,,,,,,,,,,,
"20","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026051.pdf","2020-03-22","11779","1600","9027","1152","5","14","12562","6","26","82","140","141","128","122","90","44","17","31","105","148","173","154","91","51","51","114","169","41","36","44","14","20","24","16",,,,,,,,,,,,,,,,,,
"21","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026056.pdf","2020-03-23","13674","2060","10212","1402","14","23","11842","7","30","100","166","178","167","167","107","58","18","36","140","181","226","194","127","73","85","142","201","47","60","72","23","34","42","28",,,,,,,,,,,,,,,,,,
"22","https://covid19.min-saude.pt/wp-content/uploads/2020/03/22_DGS_boletim_20200324_3.pdf","2020-03-24","15474","2362","11329","1783","22","33","11842","7","30","133","188","224","208","158","107","73","18","35","145","206","224","215","190","106","95","142","203","48","58","70","24","34","42","27","0","0","0","0","0","2","4","5","12","0","0","0","0","0","1","0","0","9"
"23","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026070.pdf","2020-03-25","21125","2995","16569","1591","22","43","13624","13","35","157","230","272","252","198","142","110","21","42","191","260","279","283","226","134","150","155","276","61","51","62","19","28","36","23","0","0","0","0","0","3","7","7","13","0","0","0","0","0","1","0","0","12"
"24","https://www.dgs.pt/em-destaque/relatorio-de-situacao-n-024-26032020-pdf.aspx","2020-03-26","22257","3544","16718","1995","43","60","14994","14","49","166","268","304","277","255","184","128","29","51","234","310","367","360","229","133","186","330","191","61","48","53","19","63","31","37","0","0","0","0","0","3","8","14","16","0","0","0","0","0","1","0","1","17"
"25","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026082.pdf","2020-03-27","25431","4268","17168","3995","43","76","19816","19","50","179","307","359","346","319","236","161","30","54","254","364","462","429","294","179","222","330","354","71","51","60","19","28","35","24","0","0","0","0","0","3","9","14","23","0","0","0","0","1","1","1","4","20"
"26","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026084.pdf","2020-03-28","32754","5170","22646","4938","43","100","19927","22","56","216","362","434","398","377","286","208","34","67","302","439","568","533","359","224","285","330","418","89","41","49","15","23","28","19","0","0","0","0","0","4","13","17","31","0","0","0","0","2","1","1","4","27"
"27","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026088.pdf","2020-03-29","38042","5962","26572","5508","43","119","17785","24","63","241","407","482","469","438","336","245","40","75","347","495","664","615","412","275","334","427","486","138","52","62","20","29","35","24","0","0","0","0","0","4","14","20","38","0","0","0","0","2","1","1","7","32"
"28","https://covid19.min-saude.pt/wp-content/uploads/2020/03/i026097.pdf","2020-03-30","44206","6408","32953","4845","43","140","11482","30","66","264","436","510","503","458","360","269","41","83","373","529","700","647","443","308","388","431","571","164","51","61","19","29","35","24","0","0","0","0","0","5","15","23","45","0","0","0","0","2","1","1","8","40"
"29","https://covid19.min-saude.pt/wp-content/uploads/2020/03/29_DGS_boletim_20200331.pdf","2020-03-31","52086","7443","40033","4610","43","160","19260","44","80","318","505","585","573","515","416","318","50","104","437","610","798","773","513","342","462",,"627","188","50","62","19","29","34","24","0","0","0","0","0","5","16","25","50","0","0","0","0","2","1","1","13","47"
"30","https://covid19.min-saude.pt/wp-content/uploads/2020/04/i026123.pdf","2020-04-01","59457","8251","46249","4957","43","187","20275","49","89","355","543","641","636","564","455","381","55","116","470","677","879","840","569","378","554","523","726","230","49","61","19","29","33","24","0","0","0","0","0","6","16","27","62","0","0","0","0","2","1","1","14","58"
"31","https://covid19.min-saude.pt/wp-content/uploads/2020/04/31_DGS_boletim_20200402.pdf","2020-04-02","66895","9034","52903","4958","68","209","21798","52","97","390","593","681","701","605","490","435","63","122","506","735","970","929","622","402","641","550","1042","240","49","60","19","28","33","25","0","0","0","0","0","6","16","30","73","0","0","0","0","2","2","2","15","63"
"32","https://covid19.min-saude.pt/wp-content/uploads/2020/04/32_DGS_boletim_20200403.pdf","2020-04-03","74377","9886","59099","5392","68","246","22556","68","104","425","648","734","761","646","525","466","65","132","580","825","1093","1025","679","420","690","576","1058","245","48","60","18","29","33","25","0","0","0","0","0","7","18","35","83","0","0","0","0","2","2","3","23","73"
"33","https://covid19.min-saude.pt/wp-content/uploads/2020/04/33_DGS_boletim_20200404.pdf","2020-04-04","81087","10524","65045","5518","75","266","22858","76","115","450","690","771","813","673","549","495","74","137","632","877","1157","1095","723","450","747","603","1075","251","47","60","18","28","32","25","0","0","0","0","1","6","20","38","84","0","0","0","0","3","2","4","22","86"
"34","https://covid19.min-saude.pt/wp-content/uploads/2020/04/34_DGS_boletim_20200405.pdf","2020-04-05","86370","11278","70130","4962","75","295","23209","81","123","487","738","826","863","714","580","532","81","153","692","933","1232","1170","777","479","817","619","1084","267","46","60","17","29","32","25","0","0","0","0","1","6","21","42","98","0","0","0","0","3","2","6","24","92"
"35","https://covid19.min-saude.pt/wp-content/uploads/2020/04/34_DGS_boletim_20200406.pdf","2020-04-06","91794","11730","75564","4500","140","311","23470","87","130","507","768","860","883","733","599","562","87","155","708","963","1269","1217","802","503","897","623","1099","270","46","60","17","28","32","24","0","0","0","0","1","6","22","45","100","0","0","0","0","3","2","7","26","99"
"36","https://covid19.min-saude.pt/wp-content/uploads/2020/04/36_DGS_boletim_20200407_2.pdf","2020-04-07","99730","12442","82846","4442","184","345","25070","92","140","538","797","901","920","769","629","605","87","166","756","1021","1338","1296","845","530","1012","640","1180","271","46","59","17","28","31","24","0","0","0","0","1","7","25","50","105","0","0","0","0","3","2","10","28","114"
"37","https://covid19.min-saude.pt/wp-content/uploads/2020/04/37_DGS_boletim_20200408.pdf","2020-04-08","104886","13141","85842","5903","196","380","24481","97","148","567","831","957","966","814","658","619","95","175","796","1093","1423","1386","896","568","1052","637","1211","245","46","59","17","28","31","24","0","0","0","0","1","8","26","53","116","0","0","0","0","3","2","12","34","125"
"38","https://covid19.min-saude.pt/wp-content/uploads/2020/04/38_DGS_boletim_20200409_VERSA%CC%83O-FINAL.pdf","2020-04-09","115158","13956","97401","3801","205","409","24708","105","161","598","872","1000","1005","842","676","703","101","190","846","1141","1483","1452","938","608","1235","642","1173","241","45","58","17","28","31","23","0","0","0","0","1","8","30","54","126","0","0","0","0","3","2","12","34","139"
"39","https://covid19.min-saude.pt/wp-content/uploads/2020/04/39_DGS_boletim_20200410.pdf","2020-04-10","123564","15472","103583","4509","233","435","25914","126","186","649","954","1094","1093","924","724","777","119","214","959","1261","1641","1619","1035","682","1415","660","1179","226","43","57","17","27","30","23","0","0","0","0","1","10","31","57","133","0","0","0","0","3","2","12","35","151"
"40","https://covid19.min-saude.pt/wp-content/uploads/2020/04/40_DGS_boletim_20200411.pdf","2020-04-11","130300","15987","110352","3961","266","470","25432","133","191","657","966","1116","1127","945","746","816","132","224","982","1290","1701","1665","1065","714","1517","660","1175","233","42","56","17","26","29","23","0","0","0","0","1","13","35","62","141","0","0","0","0","3","3","13","38","161"
"41","https://covid19.min-saude.pt/wp-content/uploads/2020/04/41_DGS_boletim_20200412.pdf","2020-04-12","136243","16585","116047","3611","277","504","25041","136","201","681","995","1143","1163","972","767","845","147","229","1030","1329","1752","1728","1101","750","1616","697","1177","228","42","56","17","26","29","23","0","0","0","0","1","13","35","68","147","0","0","0","0","4","3","13","40","180"
"42","https://covid19.min-saude.pt/wp-content/uploads/2020/04/42_DGS_boletim_20200413-DGS-259.pdf","2020-04-13","139184","16934","118986","3264","277","535","26989","137","206","704","1010","1159","1180","986","784","859","147","229","1059","1362","1773","1762","1120","781","1676","707","1187","188","41","55","16","26","29","23","0","0","0","0","1","13","37","68","154","0","0","0","0","5","4","16","43","194"
"43","https://covid19.min-saude.pt/wp-content/uploads/2020/04/43_DGS_boletim_20200414.pdf","2020-04-14","142514","17448","122592","2474","347","567","23265","143","210","726","1025","1176","211","995","802","884","147","241","1094","1397","1829","1817","1173","824","1754","707","1227","218","41","54","16","26","28","23","0","0","0","0","2","13","39","71","162","0","0","0","0","5","5","17","45","208"
"44","https://covid19.min-saude.pt/wp-content/uploads/2020/04/44_DGS_boletim_20200415.pdf","2020-04-15","150804","18091","128653","4060","383","599","26144","151","220","754","1049","1221","1243","1030","833","920","153","250","1144","1457","1903","1890","1212","840","1821","723","1200","208","40","54","16","25","28","23","0","0","0","0","2","13","39","76","173","0","0","0","0","5","5","19","49","218"
"45","https://covid19.min-saude.pt/wp-content/uploads/2020/04/45_DGS_boletim_20200416-FINAL.pdf","2020-04-16","154727","18841","131976","3910","493","629","26065","157","226","789","1094","1285","1302","1068","848","950","164","259","1205","1530","1982","1977","1251","867","1887","729","1302","229","41","56","17","25","29","24","0","0","0","0","3","13","40","79","183","0","0","0","0","5","5","19","52","230"
"46","https://covid19.min-saude.pt/wp-content/uploads/2020/04/46_DGS_boletim_20200417.pdf","2020-04-17","158940","19022","135113","4805","519","657","25456","157","226","796","1106","1299","1310","1077","851","960","165","261","1217","1543","1997","1996","1264","880","1917","731","1284","222","38","53","16","25","27","21","0","0","0","0","3","13","42","83","193","0","0","0","0","5","5","19","54","240"
"47","https://covid19.min-saude.pt/wp-content/uploads/2020/04/47_DGS_boletim_20200418.pdf","2020-04-18","162711","19685","137860","5166","610","687","25456","157","231","828","1150","1332","1349","1107","876","1000","171","277","1269","1601","2056","2073","1300","909","1999","735","1253","228","38","53","16","25","27","21","0","0","0","0","3","14","43","87","201","0","0","0","0","5","5","21","58","250"
"48","https://covid19.min-saude.pt/wp-content/uploads/2020/04/48_DGS_boletim_20200419.pdf","2020-04-19","187604","20206","162439","4959","610","714","27947","164","246","856","1181","1361","1377","1123","891","1030","181","290","1293","1650","2112","2133","1321","935","2062","735","1243","224","38","52","16","25","27","21","0","0","0","0","3","15","43","88","209","0","0","0","0","5","5","22","63","261"
"49","https://covid19.min-saude.pt/wp-content/uploads/2020/04/49_DGS_boletim_202004201.pdf","2020-04-20","198353","20863","172751","4739","610","735","30805","170","262","933","1237","1417","1391","1171","905","1041","189","319","1367","1694","2181","2191","1332","972","2091","735","1208","215","38","52","16","24","27","20","0","0","0","0","3","15","43","89","218","0","0","0","0","5","5","22","66","269"
"50","https://covid19.min-saude.pt/wp-content/uploads/2020/04/50_DGS_boletim_20200421.pdf","2020-04-21","202769","21379","176381","5009","917","762","30646","170","266","988","1271","1418","1439","1173","927","1097","189","321","1390","1713","2202","2231","1384","978","2222","735","1172","213","37","52","15","25","27","20","0","0","0","0","4","15","45","91","225","0","0","0","0","5","5","22","68","282"
"51","https://covid19.min-saude.pt/wp-content/uploads/2020/04/51_DGS_boletim_20200422.pdf","2020-04-22","210302","21982","185101","3219","1143","785","30646","171","295","1022","1296","1439","1466","1220","936","1108","189","353","1437","1777","2302","2303","1401","1025","2242","735","1146","207","37","52","15","25","27","20","0","0","0","0","4","15","45","93","233","0","0","0","0","5","5","22","68","295"
"52","https://covid19.min-saude.pt/wp-content/uploads/2020/04/52_DGS_boletim_20200423.pdf","2020-04-23","219848","22353","193447","4048","1201","820","30342","171","297","1058","1321","1468","1490","1236","963","1135","189","362","1473","1809","2317","2328","1421","1036","2279","741","1095","204","36","51","14","24","27","20","0","0","0","0","4","16","48","98","240","0","0","0","0","5","5","23","70","311"
"53","https://covid19.min-saude.pt/wp-content/uploads/2020/04/53_DGS_boletim_20200424.pdf","2020-04-24","227393","22797","200219","4377","1228","854","29621","171","299","1097","1347","1498","1517","1273","990","1167","189","372","1511","1842","2332","2363","1450","1057","2322","741","1068","188","36","50","14","24","26","20","0","0","0","0","4","17","51","103","251","0","0","0","0","5","5","24","71","323"
"54","https://covid19.min-saude.pt/wp-content/uploads/2020/04/54_DGS_boletim_20200425.pdf","2020-04-25","231737","23392","203562","4783","1277","880","29932","180","306","1121","1390","1545","1547","1295","1008","1197","193","385","1551","1885","2400","2432","1487","1078","2392","741","1040","186","36","50","14","24","26","20","0","0","0","0","5","18","52","107","259","0","0","0","0","5","6","25","71","332"
"55","https://covid19.min-saude.pt/wp-content/uploads/2020/04/55_DGS_boletim_20200426.pdf","2020-04-26","236410","23864","207873","4673","1329","903","30453","186","315","1141","1407","1563","1568","1313","1022","1227","197","395","1583","1930","2448","2475","1508","1105","2481","751","1005","182","36","50","15","23","26","20","0","0","0","0","5","18","52","109","264","0","0","0","0","5","6","26","73","345"
"56","https://covid19.min-saude.pt/wp-content/uploads/2020/04/56_DGS_boletim_20200427.pdf","2020-04-27","237571","24027","208453","5091","1357","928","30703","187","319","1147","1413","1573","1584","1318","1026","1238","198","399","1590","1939","2463","2485","1524","1114","2510","751","995","176","36","50","15","23","26","19","0","0","0","0","5","20","52","111","272","0","0","0","0","5","6","28","73","356"
"57","https://covid19.min-saude.pt/wp-content/uploads/2020/04/57_DGS_boletim_20200428.pdf","2020-04-28","239065","24322","211180","3563","1389","948","29559","192","320","1164","1427","1598","1594","1329","1040","1265","207","403","1610","1953","2493","2506","1550","1134","2537","751","936","172","36","50","15","23","25","19","0","0","0","0","5","20","53","112","279","0","0","0","0","5","7","30","75","362"
"58","https://covid19.min-saude.pt/wp-content/uploads/2020/04/57_DGS_boletim_20200428.pdf","2020-04-29","239065","24322","211180","3563","1389","948","29559","192","320","1164","1427","1598","1594","1329","1040","1265","207","403","1610","1953","2493","2506","1550","1134","2537","751","936","172","36","50","15","23","25","19","0","0","0","0","5","20","53","112","279","0","0","0","0","5","7","30","75","362"
"59","https://covid19.min-saude.pt/wp-content/uploads/2020/04/59_DGS_boletim_20200430V2.pdf","2020-04-30","247696","25056","218857","3794","1519","989","29467","192","334","1223","1485","1650","1655","1348","1064","1288","210","414","1670","2006","2559","2599","1573","1153","2633","751","968","172","36","50","15","23","25","19","0","0","0","0","5","21","56","114","288","0","0","0","0","5","8","31","81","380"
"60","https://covid19.min-saude.pt/wp-content/uploads/2020/05/60_DGS_boletim_20200501.pdf","2020-05-01","251269","25351","222090","3828","1647","1007","29756","196","340","1250","1504","1681","1673","1360","1068","1296","210","421","1687","2040","2581","2634","1580","1159","2671","751","892","154","34","44","15","20","25","18","0","0","0","0","5","22","56","116","294","0","0","0","0","5","9","32","81","387"
"61","https://covid19.min-saude.pt/wp-content/uploads/2020/05/61_DGS_boletim_20200502_V2.pdf","2020-05-02","252728","25190","223777","3761","1671","1023","27895","199","337","1245","1497","1654","1670","1342","1052","1283","212","418","1675","2040","2568","2599","1567","1155","2677","751","855","150","31","44","13","20","22","16","0","0","0","0","5","23","57","119","299","0","0","0","0","5","9","32","82","392"
"62","https://covid19.min-saude.pt/wp-content/uploads/2020/05/62_DGS_boletim_20200503_V2.pdf","2020-05-03","252889","25282","223916","3691","1689","1043","25324","199","337","1245","1497","1654","1670","1342","1052","1286","212","418","1677","2041","2569","2602","1567","1155","2678","751","856","144","31","44","13","20","22","16","0","0","0","0","5","23","58","123","307","0","0","0","0","5","9","33","84","396"
"63","https://covid19.min-saude.pt/wp-content/uploads/2020/05/63_DGS_boletim_20200504.pdf","2020-05-04","254510","25524","226226","2760","1712","1063","25081","208","348","1271","1533","1667","1690","1349","1061","1302","217","422","1702","2067","2594","2642","1581","1172","2698","751","813","143","31","44","13","20","22","16","0","0","0","0","5","23","59","126","312","0","0","0","0","5","9","33","89","402"
"64","https://covid19.min-saude.pt/wp-content/uploads/2020/05/64_DGS_boletim_20200505.pdf","2020-05-05","258488","25702","230115","2671","1743","1074","25066","215","351","1288","1538","1668","1693","1357","1068","1316","221","423","1706","2077","2608","2650","1598","1196","2729","751","818","134","31","43","13","20","22","16","0","0","1","0","5","24","59","127","313","0","0","0","0","5","9","34","89","408"
"65","https://covid19.min-saude.pt/wp-content/uploads/2020/05/65_DGS_boletim_20200506.pdf","2020-05-06","262041","26182","233367","2492","2076","1089","24579","216","359","1338","1583","1720","1730","1372","1073","1320","223","423","1756","2128","2668","2701","1616","1202","2754","751","838","136","30","43","12","20","22","16","0","0","1","0","5","24","61","128","315","0","0","0","0","5","9","34","90","417"
"66","https://covid19.min-saude.pt/wp-content/uploads/2020/05/66_DGS_boletim_20200507.pdf","2020-05-07","265572","26715","236191","2666","2258","1105","27318","223","373","1397","1626","1757","1769","1396","1079","1327","231","431","1796","2191","2736","2746","1638","1210","2789","751","874","135","30","43","12","20","22","16","0","0","1","0","5","24","61","132","320","0","0","0","0","5","9","34","91","423"
"67","https://covid19.min-saude.pt/wp-content/uploads/2020/05/67_DGS_boletim_20200508_1.pdf","2020-05-08","269266","27268","239014","2984","2422","1114","26829","229","381","1439","1668","1807","1801","1429","1090","1337","235","438","1831","2264","2791","2804","1668","1228","2828","770","842","127","30","42","12","20","21","16","0","0","1","0","5","24","61","133","321","0","0","0","0","5","9","34","93","428"
"68","https://covid19.min-saude.pt/wp-content/uploads/2020/05/68_DGS_boletim_20200509.pdf","2020-05-09","272443","27406","242082","2955","2499","1126","26667","230","386","1443","1679","1816","1806","1434","1095","1342","235","445","1839","2273","2798","2815","1683","1244","2843","770","815","120","30","42","12","20","21","16","0","0","1","0","5","27","63","133","323","0","0","0","0","6","9","34","93","432"
"69","https://covid19.min-saude.pt/wp-content/uploads/2020/05/69_DGS_boletim_20200510.pdf","2020-05-10","274536","27581","244201","2754","2549","1135","26344","233","390","1467","1695","1831","1827","1447","1102","1344","235","452","1848","2288","2809","2830","1687","1251","2845","770","797","112","30","42","12","20","21","16","0","0","1","0","5","27","63","133","324","0","0","0","0","6","9","34","94","439"
"70","https://covid19.min-saude.pt/wp-content/uploads/2020/05/70_DGS_boletim_20200511-2.pdf","2020-05-11","276153","27679","245832","2642","2549","1144","28307","237","394","1474","1700","1839","1835","1448","1105","1349","236","455","1860","2289","2810","2838","1694","1253","2863","770","805","112","30","42","12","20","21","15","0","0","1","0","5","27","64","134","326","0","0","0","0","6","9","35","94","443"
"71","https://covid19.min-saude.pt/wp-content/uploads/2020/05/71_DGS_boletim_20200512.pdf","2020-05-12","279933","27913","249301","2719","3013","1163","27054","242","401","1489","1717","1865","1857","1455","1107","1364","236","463","1883","2310","2828","2853","1704","1258","2881","770","709","113","30","42","12","20","21","15","0","0","1","0","6","28","66","136","332","0","0","0","0","6","10","35","95","448"
"72","https://covid19.min-saude.pt/wp-content/uploads/2020/05/72_DGS_boletim_20200513.pdf","2020-05-13","282961","28132","252143","2686","3182","1175","26278","245","406","1501","1741","1887","1876","1463","1111","1378","239","466","1910","2331","2841","2870","1704","1271","2892","770","692","103","30","42","12","20","21","15","0","0","1","0","6","28","67","136","335","0","0","0","0","6","10","37","96","453"
"73","https://covid19.min-saude.pt/wp-content/uploads/2020/05/73_DGS_boletim_20200514.pdf","2020-05-14","286285","28319","255290","2676","3198","1184","26082","246","411","1519","1753","1905","1895","1469","1116","1383","245","469","1931","2348","2853","2897","1706","1272","2901","770","680","108","30","42","12","20","21","15","0","0","1","0","7","28","67","136","337","0","0","0","0","6","11","37","99","455"
"74","https://covid19.min-saude.pt/wp-content/uploads/2020/05/74_DGS_boletim_20200515.pdf","2020-05-15","289309","28583","258004","2722","3328","1190","25792","251","418","1547","1781","1926","1914","1481","1125","1394","248","475","1962","2376","2870","2910","1714","1277","2914","770","673","112","30","41","12","20","21","15","0","0","1","0","7","28","67","136","337","0","0","0","0","6","12","38","99","459"
"75","https://covid19.min-saude.pt/wp-content/uploads/2020/05/75_DGS_boletim_20200516.pdf","2020-05-16","292249","28810","260499","2940","3822","1203","25419","259","421","1565","1796","1941","1931","1494","1127","1406","253","484","1986","2393","2887","2932","1726","1281","2928","770","657","115","30","41","12","20","21","15","0","0","1","0","7","28","69","136","344","0","0","0","0","6","12","38","99","463"
"76","https://covid19.min-saude.pt/wp-content/uploads/2020/05/76_DGS_boletim_20200517.pdf","2020-05-17","294009","29036","262269","2704","4636","1218","25640","263","426","1582","1808","1959","1948","1500","1132","1407","255","490","2009","2416","2917","2965","1734","1285","2940","770","649","108","29","41","12","20","21","15","0","0","1","0","7","28","72","139","347","0","0","0","0","6","12","38","100","468"
